date,data,cols
2025-11-08 03:10:00+07:00,3852210878166.1187,channel_1
2025-11-08 03:20:00+07:00,3442100834571.35,channel_1
2025-11-08 03:30:00+07:00,3504290285637.3403,channel_1
2025-11-08 03:40:00+07:00,3488164641206.702,channel_1
2025-11-08 03:50:00+07:00,3486177153019.584,channel_1
2025-11-08 04:00:00+07:00,3598921425353.8,channel_1
2025-11-08 04:10:00+07:00,3765325297842.5366,channel_1
2025-11-08 04:20:00+07:00,3417260337315.9136,channel_1
2025-11-08 04:30:00+07:00,3539982133073.334,channel_1
2025-11-08 04:40:00+07:00,3756174821311.5625,channel_1
2025-11-08 04:50:00+07:00,3361589024297.0903,channel_1
2025-11-08 05:00:00+07:00,3878063262042.2524,channel_1
2025-11-08 05:10:00+07:00,3774514415766.8477,channel_1
2025-11-08 05:20:00+07:00,3583578988730.79,channel_1
2025-11-08 05:30:00+07:00,3765431641965.877,channel_1
2025-11-08 05:40:00+07:00,3498288550839.4346,channel_1
2025-11-08 05:50:00+07:00,3717602313364.736,channel_1
2025-11-08 06:00:00+07:00,3702846978329.657,channel_1
2025-11-08 06:10:00+07:00,3646126183096.0796,channel_1
2025-11-08 06:20:00+07:00,3880517338537.4785,channel_1
2025-11-08 06:30:00+07:00,3612921990968.081,channel_1
2025-11-08 06:40:00+07:00,3981756662005.6084,channel_1
2025-11-08 06:50:00+07:00,3377590626270.1924,channel_1
2025-11-08 07:00:00+07:00,3593071596353.1196,channel_1
2025-11-08 07:10:00+07:00,3739525913614.248,channel_1
2025-11-08 07:20:00+07:00,3485420961905.519,channel_1
2025-11-08 07:30:00+07:00,3775304022172.533,channel_1
2025-11-08 07:40:00+07:00,3880741378306.427,channel_1
2025-11-08 07:50:00+07:00,3692362995385.404,channel_1
2025-11-08 08:00:00+07:00,3683234271032.4014,channel_1
2025-11-08 08:10:00+07:00,3404824611456.2754,channel_1
2025-11-08 08:20:00+07:00,3456010359921.1123,channel_1
2025-11-08 08:30:00+07:00,3939077294830.051,channel_1
2025-11-08 08:40:00+07:00,3591862973593.2505,channel_1
2025-11-08 08:50:00+07:00,3717546935978.6035,channel_1
2025-11-08 09:00:00+07:00,3797596685916.296,channel_1
2025-11-08 09:10:00+07:00,3501147601656.438,channel_1
2025-11-08 09:20:00+07:00,3597367187200.375,channel_1
2025-11-08 09:30:00+07:00,3263803805060.356,channel_1
2025-11-08 09:40:00+07:00,3615885598207.9375,channel_1
2025-11-08 09:50:00+07:00,3403874162814.4165,channel_1
2025-11-08 10:00:00+07:00,3443247499233.772,channel_1
2025-11-08 10:10:00+07:00,3543503148618.7017,channel_1
2025-11-08 10:20:00+07:00,3265602587034.6973,channel_1
2025-11-08 10:30:00+07:00,3748155268395.463,channel_1
2025-11-08 10:40:00+07:00,3275981500228.9097,channel_1
2025-11-08 10:50:00+07:00,3519558464814.61,channel_1
2025-11-08 11:00:00+07:00,3232012602711.3857,channel_1
2025-11-08 11:10:00+07:00,3529263583625.9775,channel_1
2025-11-08 11:20:00+07:00,3416414580578.1743,channel_1
2025-11-08 11:30:00+07:00,3543909420432.754,channel_1
2025-11-08 11:40:00+07:00,3368609405879.6274,channel_1
2025-11-08 11:50:00+07:00,3740539539089.02,channel_1
2025-11-08 12:00:00+07:00,3418844700737.412,channel_1
2025-11-08 12:10:00+07:00,3527063068286.377,channel_1
2025-11-08 12:20:00+07:00,3433089386323.393,channel_1
2025-11-08 12:30:00+07:00,3727682178955.238,channel_1
2025-11-08 12:40:00+07:00,3223746876040.688,channel_1
2025-11-08 12:50:00+07:00,3493353142708.121,channel_1
2025-11-08 13:00:00+07:00,3187906716147.2974,channel_1
2025-11-08 13:10:00+07:00,3370056763313.906,channel_1
2025-11-08 13:20:00+07:00,3515676103865.5693,channel_1
2025-11-08 13:30:00+07:00,3721457732723.896,channel_1
2025-11-08 13:40:00+07:00,3434865519232.3105,channel_1
2025-11-08 13:50:00+07:00,3435408717928.6714,channel_1
2025-11-08 14:00:00+07:00,3072011685843.39,channel_1
2025-11-08 14:10:00+07:00,3486015186268.343,channel_1
2025-11-08 14:20:00+07:00,3743103922513.804,channel_1
2025-11-08 14:30:00+07:00,3668761838303.259,channel_1
2025-11-08 14:40:00+07:00,2984911633247.405,channel_1
2025-11-08 14:50:00+07:00,2983929422626.57,channel_1
2025-11-08 15:00:00+07:00,3259436865792.5317,channel_1
2025-11-08 15:10:00+07:00,3379854819588.2,channel_1
2025-11-08 15:20:00+07:00,3329229097634.4434,channel_1
